Actions_IDs,Text,Character,Day
1,НОВАЯ ИГРА,,
2,ЗАГРУЗИТЬ ИГРУ,,
3,НАСТРОЙКИ,,
4,ВЫХОД,,
5,ЭКРАН,,
6,ПОЛНЫЙ ЭКРАН,,
7,ОКОННЫЙ РЕЖИМ,,
8,СМЕНИТЬ ЯЗЫК,,
9,АНГЛИЙСКИЙ,,
10,РУССКИЙ,,
11,УПРАВЛЕНИЕ,,
12,ВЕРНУТЬСЯ,,
13,ВВЕРХ,,
14,ВНИЗ,,
15,ВЛЕВО,,
16,ВПРАВО,,
17,ВЗАИМОДЕЙСТВИЕ,,
18,МЕНЮ,,
19,ОТМЕНИТЬ,,
20,ПРИНЯТЬ,,
21,ВЫЙТИ ИЗ ИГРЫ,,
22,"Здравствуй, путник! Приятно видеть новеньких в этом городе.",tavern girl,
23,Ты пришел чтобы исследовать лес?,tavern girl,
24,"Ой, ты не знаешь про него? Давай я расскажу!",tavern girl,
25,"У меня есть книга, в ней две части, одна про мальчика, вторая про девочку, их истории связаны, но немного различаются. Какую хочешь послушать?",tavern girl,
26,О мальчике.,choice,
27,О девочке.,choice,
28,"Отличный выбор! Итак, всё началось...",tavern girl,
29,ИГРА СОХРАНЕНА,,
30,День : ,,
31,Глава : ,,
32,Место : ,,
33,Воссоединение Семьи,stage,
34,Дом Майкла,room,
35,Дом Элли,room,
36,"В игре имеется только одно сохранение. Если вы хотите оставить это, скопируйте файл из папки.",,
37,Вы уверены что хотите начать новую игру? ИСПОЛЬЗУЕМОЕ СОХРАНЕНИЕ БУДЕТ УДАЛЕНО.,,
38,Сохранений нет.,,
